0,1,2
01,18718621.810000006,19791161.359999884
02,16778908.720000528,16618027.710000554
03,10624585.670000236,10520890.98000023
04,4989720.010000113,5039508.490000083
05,4296747.870000078,4374311.110000066
06,33518557.179999508,33594818.729999624
07,9835575.840000195,10079854.600000218
08,8776392.020000303,8536484.260000277
09,4720857.320000105,4745068.010000108
10,9423896.150000187,9576192.640000299
11,11158963.67000024,11408762.29000023
12,8550191.220000196,8639596.460000176
13,87622488.58999977,89339763.03999962
14,21225957.609999575,21504027.919999547
15,4574875.530000135,4525033.420000065
16,10933838.2600003,10951910.020000322
17,19396124.329999916,19907905.18999986
18,9662505.320000151,9520398.220000204
19,7516062.840000177,7487571.3600002155
21,16303838.990000427,16529579.440000458
22,18425611.98000005,18567526.880000032
23,3799351.320000083,3704550.220000109
24,12870188.160000369,12858440.400000347
25,16402167.890000487,16694999.780000376
26,15127770.91000023,15748176.390000185
27,18231419.920000102,18687552.99000003
28,13342881.740000267,13451785.980000244
29,27895959.769999456,28155707.839999378
2A,4521222.280000044,4783389.590000043
2B,5227831.630000112,5460702.080000134
30,22269055.529999707,23002171.429999564
31,39066983.9899992,41793650.05999963
32,5855667.810000215,5910569.740000201
33,45373513.63000003,48567029.47000029
34,32923102.66999905,35106900.14999936
35,30889597.219999235,32605134.119998965
36,7135417.25000012,6928647.870000111
37,18404163.700000037,18792903.390000008
38,37671554.019999266,38840258.66999953
39,8100096.640000284,8076006.850000329
40,12025782.880000293,12555299.460000195
41,10269670.080000175,10315825.670000235
42,23220629.35999959,23621894.59999958
43,6972106.150000166,7047497.220000181
44,40192300.72999986,42806405.79999992
45,20447183.669999845,20904215.739999764
46,5417360.360000182,5373741.810000202
47,10256835.77000018,10317808.740000252
48,2391832.900000006,2369078.5900000064
49,24495606.65999983,25138946.249999672
50,15502586.33000034,15449204.020000346
51,17565105.300000258,17697351.92000023
52,5653610.740000196,5520587.880000218
53,9517949.840000194,9538316.220000204
54,22726820.749999333,22748430.22999941
55,6000249.950000241,5860690.12000021
56,22539563.389999732,23173980.249999758
57,32399496.859997988,32403375.579998244
58,6768557.980000198,6483978.910000179
59,79955426.29999937,80715385.09999898
60,24974881.229999147,25529778.129998937
61,9017607.980000222,8844534.36000023
62,45346984.140000015,45592435.32000006
63,19699520.39999984,20171680.77999975
64,20354825.059999716,20893546.159999672
65,7106054.360000212,7062682.8800002495
66,14028421.630000157,14705430.320000164
67,34077317.60999852,34763596.229998715
68,23344720.4999995,23645017.49999948
69,69300615.32000045,72899528.39000025
70,7430530.43000023,7354481.850000317
71,17235942.340000384,17205689.750000335
72,17537242.81000016,17594374.26000017
73,12987407.530000214,13320097.980000246
74,23156803.14999966,24843888.249999687
75,139498450.0,135800274.0
76,38789716.26999915,38928372.75999893
77,41491216.539999634,43327595.159999825
78,43822676.939999945,44386038.69999997
79,11499098.46000019,11617020.600000227
80,17707513.41000023,17755033.62000024
81,11707911.670000244,11979873.740000263
82,7580888.800000099,7963799.250000126
83,31394780.659999724,32730445.729999635
84,16945524.110000093,17329429.040000066
85,19891354.599999886,20788497.389999844
86,13281846.460000198,13518125.360000256
87,11657790.87000013,11624311.490000118
88,11743715.740000257,11458853.330000319
89,10616337.19000028,10556847.260000298
90,4443784.280000043,4466754.350000055
91,37980914.799999766,39907221.319999754
92,49030468.0,49701308.0
93,47427768.0,49806427.139999986
94,41344761.37999999,42722679.75999998
95,36591308.48999968,37879605.86999973
971,12543684.070000017,12217408.760000022
972,12161020.380000012,11670877.83000004
973,7364018.690000005,8349911.38000001
974,25686010.379999973,26440643.379999965
976,0.0,0.0
